,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
204,0.5847827434539795,0.061999190663577175,0.001420879364013672,5.941257046679127e-05,0.001,"(50, 50)",16,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 16}",0.939986578468028,0.9524447597685052,0.9559673701560234,0.9639249996901837,0.9382908058939438,0.9501211201143083,0.009724170592547425,50,0.9473471211877115,0.9558917399628543,0.949020246547705,0.95137909864463,0.9551761973000988,0.9517628807286,0.0033426478083906255
205,0.7349429607391358,0.18543755136711984,0.0014201641082763673,4.0598588838881036e-05,0.001,"(50, 50)",17,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 17}",0.9535859302760692,0.9524447597685052,0.9577921876742715,0.9679154325654021,0.9401156234121919,0.954370648706143,0.008973610139730942,40,0.956683432887611,0.9560881900041573,0.9499322392517633,0.9591367462608686,0.9567721845322011,0.9557225585873204,0.003077114097853355
206,0.8650153636932373,0.2539887646691864,0.0013909339904785156,2.6007522175488514e-05,0.001,"(50, 50)",18,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 18}",0.9517644366512968,0.9599578030312418,0.9542060649622645,0.9593629558945633,0.9546738874499648,0.9559922859128598,0.003159023750080275,36,0.9559673701560234,0.9594120666389506,0.9456791442442655,0.9449793756488658,0.9668413620432972,0.9545758637462806,0.008330807868183037
207,0.6940447807312011,0.3359279137232245,0.00144500732421875,5.8166393953401576e-05,0.001,"(50, 50)",19,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 19}",0.981138727304777,0.9340463237207688,0.9587045964333958,0.9621001821719357,0.9409645198468267,0.9553953981856235,0.016631276203187162,37,0.9860842173422726,0.9321914456942408,0.9522122210119093,0.9490833428171285,0.9558128696260751,0.9550768192983252,0.017492104002735
208,0.8367442131042481,0.32091494529952724,0.0014759063720703124,4.734409503771203e-05,0.001,"(50, 50)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",0.9568578152591067,0.9383543182184327,0.9706526588427744,0.9732628604711685,0.9486045877585415,0.9575463269997601,0.013171143835673662,31,0.9606045443842711,0.9441706401832656,0.9628076523774907,0.9658418861681365,0.9618182409379434,0.9590485928102215,0.0076383869226309235
209,0.11364493370056153,0.011141997397159617,0.0009526252746582031,7.992373993744035e-05,0.001,"(50,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 2}",0.5,0.5,0.7100615914639435,0.4999999999999999,0.5,0.5420049295628744,0.08401909453050663,360,0.5,0.4999999999999999,0.6952740507108203,0.5,0.5,0.5390548101421639,0.07810962028432812
210,0.22202768325805664,0.1014074093873941,0.0009259223937988281,1.3080991292389073e-05,0.001,"(50,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 3}",0.8581430661087762,0.5,0.5,0.5,0.8369034488741279,0.639047842174054,0.1703931622875258,340,0.8478829483350476,0.4999999999999999,0.4999999999999999,0.5,0.8357439592096166,0.6367253815089329,0.16749770275691425
211,0.4080672740936279,0.3050915787809137,0.0009358406066894531,1.0397237145161702e-05,0.001,"(50,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 4}",0.5,0.8630287013743446,0.8800469061752568,0.4999999999999999,0.8778177784937975,0.724139250779343,0.18314259972113142,308,0.5,0.8749610003119974,0.8675531886067491,0.5,0.8778776543981196,0.7240783686633732,0.1829901873812877
212,0.48840603828430174,0.15206358380739235,0.0010594367980957032,2.7125538817778818e-05,0.001,"(50,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 5}",0.8729175750940898,0.8432438377554434,0.8750975921083612,0.8707493215024846,0.7541515373080688,0.8432371935771753,0.046017591723646965,276,0.8759856028403951,0.8570768853204013,0.8633073516057032,0.8655629464641702,0.775268507529359,0.8474402587520057,0.03659688336683151
213,0.4098623752593994,0.10891189123057123,0.0011055946350097656,7.769598761279187e-05,0.001,"(50,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 6}",0.8708486799583128,0.8790477488753671,0.8369080961173831,0.8860294573259142,0.8828244085608417,0.8711316283965104,0.017845904672000455,260,0.8830366326695004,0.8883756349304044,0.8322281808842303,0.8807326638161087,0.8852926273364007,0.8739331479273289,0.02100492480404434
214,0.38724050521850584,0.18631931670312035,0.0013640403747558593,0.0005734065941253384,0.001,"(50,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 7}",0.8704945865456873,0.8671461588985413,0.8985258944394185,0.883523044130222,0.8803644677977024,0.880009156735192,0.011057116041826699,241,0.8816145762333784,0.8842759257925936,0.8821652007429102,0.8803914407394419,0.8728229851580543,0.8802540257332756,0.003922208933303481
215,0.4453787326812744,0.0716537899045151,0.0011174201965332032,6.84483754493858e-05,0.001,"(50,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 8}",0.8704945865456873,0.8818082113690159,0.8829281969935434,0.8567161959525609,0.8853710978647465,0.8754627838317799,0.010679049402095072,253,0.8751308973516909,0.8908104541615279,0.8805921488111965,0.8623481334729968,0.8816690434218462,0.8781101354438517,0.009353511400763723
216,0.5637482643127442,0.1893076108730987,0.0010721206665039063,2.9626288273980293e-05,0.001,"(50,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 9}",0.8925550700300902,0.8836035963466471,0.8837306209956254,0.8953440818906224,0.834420271894712,0.8779333002227105,0.02225232043837386,246,0.8866974985438638,0.8856311407573255,0.8839003481520535,0.8973779822664644,0.8486237271392152,0.8804461393717844,0.016596677458297418
217,0.46182756423950194,0.1658326622828457,0.001077413558959961,2.8997031775495094e-05,0.001,"(50,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 10}",0.8979066739650112,0.8868318813279962,0.9009858352025577,0.8894018068481776,0.8183377120692006,0.8786961610405349,0.030624553087664905,242,0.8999870651729394,0.8969392115830815,0.895280128081556,0.8939436871601801,0.8294933640530876,0.8831286912101689,0.026893512676199292
