,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
186,0.7933279037475586,0.10770034606099207,0.0034910202026367187,0.00016627733566013008,0.01,"(100, 25, 100)",17,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 17}",0.9991511035653652,1.0,0.99830220713073,0.997389798371606,0.99830220713073,0.9986291550512103,0.0008832886734740574,21,0.9993633276740238,0.9991353294980091,0.9991195554306533,0.9966746717639163,0.9995755517826825,0.9987736872298572,0.0010627265389713137
187,0.7855334281921387,0.08116019850065737,0.0034513473510742188,3.775243581255137e-05,0.01,"(100, 25, 100)",18,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 18}",1.0,0.999087591240876,1.0,1.0,0.9991511035653651,0.9996478009135941,0.0004318844222590649,7,1.0,1.0,0.9997877758913413,1.0,1.0,0.9999575551782683,8.48896434634927e-05
188,0.7079451560974122,0.0672805012992144,0.0029802799224853517,0.00023311092461054638,0.01,"(100, 25, 100)",19,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 19}",0.9991511035653652,1.0,1.0,1.0,0.9991511035653651,0.9996603518486116,0.0004158908967534359,3,0.9993633276740238,1.0,1.0,0.9997877758913413,0.9997720018239853,0.99978462107787,0.00023256547066867852
189,0.7856366157531738,0.0549201501741672,0.003156280517578125,0.00015099277318417756,0.01,"(100, 25, 100)",21,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 21}",0.9990892531876138,0.9964773896124818,0.9973897983716058,1.0,0.999087591240876,0.998408926153058,0.0012824478607768922,28,1.0,0.996871121805219,0.9982706589960183,0.9979953386179362,0.9991037813632975,0.9984481801564943,0.0010546705678881423
190,0.791935396194458,0.23459185589303813,0.0014726638793945313,3.766482351973033e-05,0.001,"(50, 50)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.9116127176746731,0.9309512597127384,0.9457635730484676,0.9479059521891613,0.9275556739741985,0.9327541165161817,0.013238548922135617,344,0.9119235094741799,0.9408968921797012,0.9367599252754365,0.9452675668917231,0.9418791423862156,0.9353454072414513,0.012021182041513291
191,0.8873044013977051,0.14488682576629416,0.0015629768371582032,5.733331835475986e-05,0.001,"(50, 50)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.9840395100213075,0.9723504517120445,0.9827912582256204,0.97822921443,0.9651146939635409,0.9765063507644793,0.007018044505151314,314,0.9783663081060314,0.9796149695318568,0.9786241064910189,0.9733643743753276,0.9768632173523257,0.977366595171312,0.002186646220340578
192,1.0000674247741699,0.1526040081277805,0.0016108036041259765,8.920072291266797e-05,0.001,"(50, 50)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.9876206468931009,0.9831723321725553,0.9877978882926648,0.9876708636436865,0.973453397444636,0.9839436724746266,0.005529790366681845,272,0.9875914732380752,0.985834016553674,0.9881770945832434,0.9880666761117525,0.985456890538424,0.987025230205034,0.001149844473650673
193,1.0168824195861816,0.14868284754197683,0.0016977787017822266,5.124568739547008e-05,0.001,"(50, 50)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.9937484730687993,0.9797132341095264,0.9911299617067156,0.9919788581413505,0.9823869480624093,0.9877925426748216,0.005632684696541044,253,0.994275758120283,0.9895837930070752,0.9884438021270023,0.9877598075989584,0.9884524149613254,0.9897031151629289,0.0023600790663555406
194,0.8243723392486573,0.297288207353453,0.001672983169555664,1.5167619615927286e-05,0.001,"(50, 50)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.9937484730687993,0.974429318528249,0.9894956811619348,0.9946525720942336,0.9866949425600733,0.9878052429057299,0.0072828293995675425,252,0.9952040449605294,0.9856060183776594,0.9885384465311375,0.9887506706397963,0.9935457935691353,0.9903289948156516,0.0035247009783124193
195,0.9585556983947754,0.305023931169278,0.002379751205444336,0.0013207232996185103,0.001,"(50, 50)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.9945973695034341,0.9857825338009493,0.9963503649635036,0.9973262860471168,0.98741681434573,0.9922950787085398,0.004759293674835231,178,0.9981910605628741,0.9903853672396427,0.9952751345731169,0.99509445859917,0.9943789159364145,0.9946649873822437,0.0025054701208729276
196,0.8328604698181152,0.08321726212955911,0.0017461776733398438,8.184517771295702e-05,0.001,"(50, 50)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 8}",0.9954462659380692,0.9910664493822264,0.9896227058109129,0.9928277545759856,0.9891781195394892,0.9916289305243434,0.0022963102767227872,207,0.9957454487997719,0.9957469049925022,0.9927126712018562,0.9953382308425404,0.9961713532098195,0.9951429218092981,0.0012433639241073988
