,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
247,0.02815670967102051,0.008335682665393107,0.0007442474365234375,5.225547875858069e-05,0.001,"(25, 25)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 2}",0.5090225563909774,0.4721804511278195,0.5343629343629342,0.535135135135135,0.57007722007722,0.5240306904964357,0.03247017782067259,350,0.5253595397890699,0.5235738255033556,0.5316666666666667,0.5860714285714286,0.5716666666666668,0.5476676254394375,0.026019218424921848
248,0.041306257247924805,0.012783427798172105,0.0007287502288818359,7.279018788136205e-05,0.001,"(25, 25)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 3}",0.5545112781954887,0.6774436090225563,0.5135135135135134,0.6988416988416988,0.6249034749034749,0.6138506654678368,0.07064817056377802,277,0.7021692233940554,0.6731064237775646,0.4979761904761906,0.6327380952380952,0.6380952380952382,0.6288170341962288,0.070089770811807
249,0.03894624710083008,0.009878361910807747,0.0007392406463623047,1.2040114638805855e-05,0.001,"(25, 25)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 4}",0.5853383458646617,0.5172932330827068,0.5256756756756755,0.5565637065637065,0.5542471042471041,0.5478366193302976,0.024324656353289568,337,0.6178451581975071,0.6176294343240651,0.568809523809524,0.5977380952380953,0.5689285714285716,0.5941901565995527,0.02192656341336657
250,0.04332857131958008,0.01933881875610275,0.0007686614990234375,8.766816819518743e-05,0.001,"(25, 25)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 5}",0.619172932330827,0.625187969924812,0.7465250965250966,0.7393822393822395,0.713899613899614,0.6885853278825934,0.05557037431847792,73,0.7132190795781399,0.7154362416107382,0.6764285714285715,0.6648809523809524,0.7280952380952381,0.6996120166187281,0.024456373887527055
251,0.059298133850097655,0.018180085946316954,0.0008254528045654296,9.671562434084058e-05,0.001,"(25, 25)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 6}",0.6026315789473683,0.6609022556390978,0.7044401544401545,0.7131274131274131,0.7210424710424711,0.6802475386715316,0.044164269991440484,114,0.7056447746883988,0.696440556088207,0.6685714285714286,0.692857142857143,0.6836904761904762,0.6894408756791307,0.012584384507981501
252,0.04328923225402832,0.014034570180023197,0.0007781982421875,0.00016002501576793893,0.001,"(25, 25)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 7}",0.6368421052631579,0.6725563909774436,0.6613899613899614,0.6861003861003862,0.5397683397683396,0.6393886724965819,0.05226112342001915,229,0.7737176414189836,0.7119606903163949,0.6625000000000001,0.6846428571428572,0.6116666666666667,0.6888975711089805,0.053676622001266584
253,0.06303033828735352,0.0042489148597854515,0.0007647037506103516,8.510235544395073e-05,0.001,"(25, 25)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 8}",0.6176691729323308,0.63796992481203,0.6812741312741314,0.6861003861003862,0.6733590733590733,0.6591573868992275,0.026809667138695207,178,0.7130992329817832,0.7068192713326941,0.676904761904762,0.6825000000000001,0.6876190476190477,0.6933884627676574,0.014088706455042758
254,0.04190206527709961,0.003794436113209349,0.0008021831512451172,0.00017376476001299777,0.001,"(25, 25)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 9}",0.5699248120300751,0.6906015037593984,0.7281853281853282,0.6654440154440154,0.7337837837837838,0.677411632660089,0.059447366037754204,117,0.7113734419942472,0.6731064237775646,0.6619047619047621,0.6808333333333333,0.6767857142857144,0.6808007350591243,0.016535247753494485
255,0.024889755249023437,0.005751474391865733,0.0008070945739746093,0.00013610952303618533,0.001,"(25, 25)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 10}",0.513157894736842,0.513157894736842,0.49285714285714266,0.5333976833976832,0.5866795366795365,0.5277953111678485,0.032039784801232624,345,0.5049256951102588,0.5049256951102588,0.5233333333333337,0.5403571428571429,0.6211904761904762,0.538946468520294,0.04318486502685368
256,0.05134673118591308,0.00885190557386205,0.0006906509399414063,2.648056674368824e-06,0.001,"(25, 25)",11,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 11}",0.5556390977443608,0.5796992481203008,0.6876447876447878,0.6384169884169885,0.6519305019305021,0.6224612944107212,0.04833396013182255,250,0.6901006711409395,0.6119007670182166,0.6457142857142858,0.6544047619047619,0.6372619047619049,0.6478764781080218,0.025444437499369622
